1,1,0.9684
7,1,0.9698

1,2,0.9572
7,2,0.9565

1,3,0.9357
7,3,0.95

1,4,0.9271
7,4,0.946

1,5,0.916
7,5,0.9368

1,6,0.8964
7,6,0.9311

1,7,0.8893
7,7,0.9244

1,8,0.8775
7,8,0.9178


1,10,0.8484
7,10,0.9018

1,11,0.8354
7,11,0.9009

1,12,0.8326
7,12,0.8903

1,13,0.8255
7,13,0.8805

1,14,0.8122
7,14,0.8748

1,15,0.7949
7,15,0.8723

1,16,0.7915
7,16,0.8614

1,17,0.7856
7,17,0.8531

1,18,0.7755
7,18,0.8442



9,1,0.96484375
9,2,0.9619140625
9,3,0.9619140625
9,4,0.9560546875
9,5,0.9609375
9,6,0.96484375
9,7,0.9462890625
9,8,0.94921875
9,9,0.953125
9,10,0.9521484375
9,11,0.9521484375
9,12,0.966796875
9,13,0.9423828125
9,14,0.9501953125
9,15,0.9482421875
9,16,0.927734375
9,17,0.9404296875
9,18,0.9248046875
9,19,0.9345703125

1,20,0.7573
7,20,0.8387
9,20,0.9345703125
1,25,0.7211
7,25,0.8041
9,25,0.919921875
1,30,0.6876
7,30,0.7716
9,30,0.90234375
1,35,0.6559
7,35,0.7361
9,35,0.8876953125
1,40,0.6278
7,40,0.736
9,40,0.8603515625

1,45,0.6145
7,45,0.7024
9,45,0.8193359375
1,50,0.5982
7,50,0.6717
9,50,0.8251953125
1,55,0.5833
7,55,0.6604
9,55,0.81640625
1,60,0.5665
7,60,0.6525
9,60,0.7822265625
1,65,0.5604
7,65,0.628
9,65,0.7978515625
1,70,0.5471
7,70,0.6221
9,70,0.765625
