1,0,0.9801
7,0,0.9671
9,0,0.9580078125
1,5,0.9188
7,5,0.9348
9,5,0.939453125
1,10,0.8705
7,10,0.8967
9,10,0.9501953125
1,15,0.8231
7,15,0.8662
9,15,0.9326171875
1,20,0.7811
7,20,0.8361
9,20,0.921875
1,25,0.7424
7,25,0.7967
9,25,0.892578125
1,30,0.7159
7,30,0.7779
9,30,0.88671875
1,35,0.6845
7,35,0.7541
9,35,0.87890625
1,40,0.6606
7,40,0.7303
9,40,0.8681640625
1,45,0.6397
7,45,0.7042
9,45,0.83984375
1,50,0.6262
7,50,0.6929
9,50,0.828125
1,55,0.6083
7,55,0.669
1,60,0.5908
7,60,0.6545
9,60,0.7939453125
1,65,0.577
7,65,0.6411
9,65,0.79296875
1,70,0.5685
7,70,0.6238
9,70,0.7890625
