1,0,0.9872
7,0,0.9742
9,0,0.98046875
1,5,0.9576
7,5,0.9584
9,5,0.96875
1,10,0.9228
7,10,0.9363
9,10,0.9658203125
1,15,0.9
7,15,0.9153
9,15,0.966796875
1,20,0.8718
7,20,0.8937
9,20,0.943359375
1,25,0.8493
7,25,0.8777
9,25,0.939453125
1,30,0.8265
7,30,0.8612
9,30,0.951171875
1,35,0.8117
7,35,0.8366
9,35,0.9306640625
1,40,0.7908
7,40,0.8335
9,40,0.9326171875
1,45,0.7749
7,45,0.8182
9,45,0.93359375
1,50,0.755
7,50,0.805
9,50,0.921875
1,55,0.7347
7,55,0.7837
9,55,0.9140625
1,60,0.7225
7,60,0.7776
9,60,0.89453125
1,65,0.7045
7,65,0.7589
9,65,0.9033203125
1,70,0.7011
7,70,0.7409
9,70,0.900390625
